,Gender,Age,Married,NumberofDependents,City,Latitude,Longitude,NumberofReferrals,TenureinMonths,Offer,PhoneService,MultipleLines,InternetService,InternetType,AvgMonthlyGBDownload,OnlineSecurity,OnlineBackup,DeviceProtectionPlan,PremiumTechSupport,StreamingTV,StreamingMovies,StreamingMusic,UnlimitedData,Contract,PaperlessBilling,PaymentMethod,MonthlyCharge,TotalRevenue,CustomerStatus,ChurnCategory
0,Female,37,Yes,0,Frazier Park,34.827662,-118.999073,2,9,No Offer,Yes,No,Yes,Cable,16.0,No,Yes,No,Yes,Yes,No,No,Yes,One Year,Yes,Credit Card,65.6,974.81,Stayed,
2,Male,50,No,0,Costa Mesa,33.645672,-117.922613,0,4,Offer E,Yes,No,Yes,Fiber Optic,30.0,No,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,73.9,415.45,Churned,Competitor
3,Male,78,Yes,0,Martinez,38.014457,-122.115432,1,13,Offer D,Yes,No,Yes,Fiber Optic,4.0,No,Yes,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,98.0,1599.51,Churned,Dissatisfaction
4,Female,75,Yes,0,Camarillo,34.227846,-119.079903,3,3,No Offer,Yes,No,Yes,Fiber Optic,11.0,No,No,No,Yes,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card,83.9,289.54,Churned,Dissatisfaction
5,Female,23,No,3,Midpines,37.581496,-119.972762,0,9,Offer E,Yes,No,Yes,Cable,73.0,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,69.4,722.38,Stayed,
6,Female,67,Yes,0,Lompoc,34.757477,-120.550507,1,71,Offer A,Yes,No,Yes,Fiber Optic,14.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,109.7,8611.41,Stayed,
7,Male,52,Yes,0,Napa,38.489789,-122.27011,8,63,Offer B,Yes,Yes,Yes,Fiber Optic,7.0,Yes,No,No,Yes,No,No,No,No,Two Year,Yes,Credit Card,84.65,6214.28,Stayed,
8,Female,68,No,0,Simi Valley,34.296813,-118.685703,0,7,Offer E,Yes,No,Yes,DSL,21.0,Yes,No,No,No,No,No,No,Yes,Two Year,Yes,Bank Withdrawal,48.2,414.06,Stayed,
9,Female,43,Yes,1,Sheridan,38.984756,-121.345074,3,65,No Offer,Yes,Yes,Yes,Cable,14.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,90.45,7807.8,Stayed,
10,Male,47,No,0,Rancho Santa Fe,32.99356,-117.207121,0,54,No Offer,No,No PhoneService,Yes,Cable,10.0,Yes,No,No,Yes,Yes,No,No,Yes,Two Year,No,Credit Card,45.2,2460.55,Stayed,
